"dtc","modelType","factory","serialStart","serialEnd","ecu","compFull","standard","event","symptom","condition","preDtc","causes","actions","mode"
"B102313","볼보 굴삭기 (Volvo Excavator)","창원 / 한국","0","999999","일반 용도 장비의 전자 컨트롤 유닛 1","직선 주행 비율 컨트롤 밸브","ISO 14229 / SAE J1939","회로 단선","B102313 직선 주행 비율 컨트롤 밸브 회로 단선","시동 ON 또는 장비 운용 중","없음","센서/액추에이터 이상, 배선 단선/단락, 커넥터 접촉 불량","관련 하네스/배선 점검, 커넥터 체결 상태 확인, 부품 점검 및 교환","overwrite"
"C103F19","볼보 굴삭기 (Volvo Excavator)","창원 / 한국","0","999999","일반 용도 장비의 전자 컨트롤 유닛 1","앞쪽 진동 드럼, 전진 솔레노이드","ISO 14229 / SAE J1939","회로 전류 임계값 초과","C103F19 앞쪽 진동 드럼, 전진 솔레노이드 회로 전류 임계값 초과","시동 ON 또는 장비 운용 중","없음","센서/액추에이터 이상, 배선 단선/단락, 커넥터 접촉 불량","관련 하네스/배선 점검, 커넥터 체결 상태 확인, 부품 점검 및 교환","overwrite"
"B10DF19","볼보 굴삭기 (Volvo Excavator)","창원 / 한국","0","999999","일반 용도 장비의 전자 컨트롤 유닛 2","경적 릴레이","ISO 14229 / SAE J1939","회로 전류 임계값 초과","B10DF19 경적 릴레이 회로 전류 임계값 초과","시동 ON 또는 장비 운용 중","없음","센서/액추에이터 이상, 배선 단선/단락, 커넥터 접촉 불량","관련 하네스/배선 점검, 커넥터 체결 상태 확인, 부품 점검 및 교환","overwrite"
"B10DB12","볼보 굴삭기 (Volvo Excavator)","창원 / 한국","0","999999","일반 용도 장비의 전자 컨트롤 유닛 2","스윙 위치 센서 1","ISO 14229 / SAE J1939","회로의 전원 단락","B10DB12 스윙 위치 센서 1 회로의 전원 단락","시동 ON 또는 장비 운용 중","없음","센서/액추에이터 이상, 배선 단선/단락, 커넥터 접촉 불량","관련 하네스/배선 점검, 커넥터 체결 상태 확인, 부품 점검 및 교환","overwrite"
"C101F11","볼보 굴삭기 (Volvo Excavator)","창원 / 한국","0","999999","일반 용도 장비의 전자 컨트롤 유닛 1","붐 서스펜션 작동 릴레이 회로","ISO 14229 / SAE J1939","회로의 접지 단락","C101F11 붐 서스펜션 작동 릴레이 회로 회로의 접지 단락","시동 ON 또는 장비 운용 중","없음","센서/액추에이터 이상, 배선 단선/단락, 커넥터 접촉 불량","관련 하네스/배선 점검, 커넥터 체결 상태 확인, 부품 점검 및 교환","overwrite"
"B100111","볼보 굴삭기 (Volvo Excavator)","창원 / 한국","0","999999","인간 기계 인터페이스 컨트롤 유닛","유압 오일 온도 센서","ISO 14229 / SAE J1939","회로의 접지 단락","B100111 유압 오일 온도 센서 회로의 접지 단락","시동 ON 또는 장비 운용 중","없음","센서/액추에이터 이상, 배선 단선/단락, 커넥터 접촉 불량","관련 하네스/배선 점검, 커넥터 체결 상태 확인, 부품 점검 및 교환","overwrite"
"P103664","볼보 굴삭기 (Volvo Excavator)","창원 / 한국","0","999999","소형 일반 용도 장비의 전자 컨트롤 유닛 1","가속 페달 신호 합계 에러","ISO 14229 / SAE J1939","신호 타당성 오류","P103664 가속 페달 신호 합계 에러 신호 타당성 오류","시동 ON 또는 장비 운용 중","없음","센서/액추에이터 이상, 배선 단선/단락, 커넥터 접촉 불량","관련 하네스/배선 점검, 커넥터 체결 상태 확인, 부품 점검 및 교환","overwrite"
"B107011","볼보 굴삭기 (Volvo Excavator)","창원 / 한국","0","999999","소형 일반 용도 장비의 전자 컨트롤 유닛 1","전기 유압 비례 제어 밸브, 버킷 인","ISO 14229 / SAE J1939","회로의 접지 단락","B107011 전기 유압 비례 제어 밸브, 버킷 인 회로의 접지 단락","시동 ON 또는 장비 운용 중","없음","센서/액추에이터 이상, 배선 단선/단락, 커넥터 접촉 불량","관련 하네스/배선 점검, 커넥터 체결 상태 확인, 부품 점검 및 교환","overwrite"
"B107113","볼보 굴삭기 (Volvo Excavator)","창원 / 한국","0","999999","소형 일반 용도 장비의 전자 컨트롤 유닛 1","전기 유압 비례 제어 밸브, 버킷 아웃","ISO 14229 / SAE J1939","회로 단선","B107113 전기 유압 비례 제어 밸브, 버킷 아웃 회로 단선","시동 ON 또는 장비 운용 중","없음","센서/액추에이터 이상, 배선 단선/단락, 커넥터 접촉 불량","관련 하네스/배선 점검, 커넥터 체결 상태 확인, 부품 점검 및 교환","overwrite"
"U106D87","볼보 굴삭기 (Volvo Excavator)","창원 / 한국","0","999999","일반 용도 장비의 전자 컨트롤 유닛 1","Rear Radar Sensor Signal","ISO 14229 / SAE J1939","메시지 누락","U106D87 Rear Radar Sensor Signal 메시지 누락","시동 ON 또는 장비 운용 중","없음","센서/액추에이터 이상, 배선 단선/단락, 커넥터 접촉 불량","관련 하네스/배선 점검, 커넥터 체결 상태 확인, 부품 점검 및 교환","overwrite"
"U104862","볼보 굴삭기 (Volvo Excavator)","창원 / 한국","0","999999","일반 용도 장비의 전자 컨트롤 유닛 3","서브넷의 GPMECU2와 통신 두절","ISO 14229 / SAE J1939","신호 비교 오류","U104862 서브넷의 GPMECU2와 통신 두절 신호 비교 오류","시동 ON 또는 장비 운용 중","없음","센서/액추에이터 이상, 배선 단선/단락, 커넥터 접촉 불량","관련 하네스/배선 점검, 커넥터 체결 상태 확인, 부품 점검 및 교환","overwrite"
"B102312","볼보 굴삭기 (Volvo Excavator)","창원 / 한국","0","999999","일반 용도 장비의 전자 컨트롤 유닛 3","직선 주행 비율 컨트롤 밸브","ISO 14229 / SAE J1939","회로의 전원 단락","B102312 직선 주행 비율 컨트롤 밸브 회로의 전원 단락","시동 ON 또는 장비 운용 중","없음","센서/액추에이터 이상, 배선 단선/단락, 커넥터 접촉 불량","관련 하네스/배선 점검, 커넥터 체결 상태 확인, 부품 점검 및 교환","overwrite"
"B116711","볼보 굴삭기 (Volvo Excavator)","창원 / 한국","0","999999","일반 용도 장비의 전자 컨트롤 유닛 3","전기 유압식 비례 밸브, 붐 AR","ISO 14229 / SAE J1939","회로의 접지 단락","B116711 전기 유압식 비례 밸브, 붐 AR 회로의 접지 단락","시동 ON 또는 장비 운용 중","없음","센서/액추에이터 이상, 배선 단선/단락, 커넥터 접촉 불량","관련 하네스/배선 점검, 커넥터 체결 상태 확인, 부품 점검 및 교환","overwrite"
"B116A13","볼보 굴삭기 (Volvo Excavator)","창원 / 한국","0","999999","일반 용도 장비의 전자 컨트롤 유닛 2","전기 유압 비례 제어 밸브, 암 BA","ISO 14229 / SAE J1939","회로 단선","B116A13 전기 유압 비례 제어 밸브, 암 BA 회로 단선","시동 ON 또는 장비 운용 중","없음","센서/액추에이터 이상, 배선 단선/단락, 커넥터 접촉 불량","관련 하네스/배선 점검, 커넥터 체결 상태 확인, 부품 점검 및 교환","overwrite"
"B115D13","볼보 굴삭기 (Volvo Excavator)","창원 / 한국","0","999999","일반 용도 장비의 전자 컨트롤 유닛 3","전기 유압식 비례 밸브, 버킷 SB2","ISO 14229 / SAE J1939","회로 단선","B115D13 전기 유압식 비례 밸브, 버킷 SB2 회로 단선","시동 ON 또는 장비 운용 중","없음","센서/액추에이터 이상, 배선 단선/단락, 커넥터 접촉 불량","관련 하네스/배선 점검, 커넥터 체결 상태 확인, 부품 점검 및 교환","overwrite"
"B116211","볼보 굴삭기 (Volvo Excavator)","창원 / 한국","0","999999","일반 용도 장비의 전자 컨트롤 유닛 3","전기 유압식 비례 밸브, 버킷 SA1","ISO 14229 / SAE J1939","회로의 접지 단락","B116211 전기 유압식 비례 밸브, 버킷 SA1 회로의 접지 단락","시동 ON 또는 장비 운용 중","없음","센서/액추에이터 이상, 배선 단선/단락, 커넥터 접촉 불량","관련 하네스/배선 점검, 커넥터 체결 상태 확인, 부품 점검 및 교환","overwrite"
"B115A18","볼보 굴삭기 (Volvo Excavator)","창원 / 한국","0","999999","일반 용도 장비의 전자 컨트롤 유닛 3","전기 유압식 비례 밸브, 붐 SA1","ISO 14229 / SAE J1939","회로 전류 임계값 미만","B115A18 전기 유압식 비례 밸브, 붐 SA1 회로 전류 임계값 미만","시동 ON 또는 장비 운용 중","없음","센서/액추에이터 이상, 배선 단선/단락, 커넥터 접촉 불량","관련 하네스/배선 점검, 커넥터 체결 상태 확인, 부품 점검 및 교환","overwrite"
"B11502F","볼보 굴삭기 (Volvo Excavator)","창원 / 한국","0","999999","일반 용도 장비의 전자 컨트롤 유닛 3","전기-유압 비례 밸브, 트래블 2 SA1","ISO 14229 / SAE J1939","불규칙한 신호","B11502F 전기-유압 비례 밸브, 트래블 2 SA1 불규칙한 신호","시동 ON 또는 장비 운용 중","없음","센서/액추에이터 이상, 배선 단선/단락, 커넥터 접촉 불량","관련 하네스/배선 점검, 커넥터 체결 상태 확인, 부품 점검 및 교환","overwrite"
"B117412","볼보 굴삭기 (Volvo Excavator)","창원 / 한국","0","999999","일반 용도 장비의 전자 컨트롤 유닛 2","트래블 1 AR, 솔레노이드 밸브","ISO 14229 / SAE J1939","회로의 전원 단락","B117412 트래블 1 AR, 솔레노이드 밸브 회로의 전원 단락","시동 ON 또는 장비 운용 중","없음","센서/액추에이터 이상, 배선 단선/단락, 커넥터 접촉 불량","관련 하네스/배선 점검, 커넥터 체결 상태 확인, 부품 점검 및 교환","overwrite"
"C103C12","볼보 굴삭기 (Volvo Excavator)","창원 / 한국","0","999999","일반 용도 장비의 전자 컨트롤 유닛 1","피스톤 연결 밸브 알람","ISO 14229 / SAE J1939","회로의 전원 단락","C103C12 피스톤 연결 밸브 알람 회로의 전원 단락","시동 ON 또는 장비 운용 중","없음","센서/액추에이터 이상, 배선 단선/단락, 커넥터 접촉 불량","관련 하네스/배선 점검, 커넥터 체결 상태 확인, 부품 점검 및 교환","overwrite"
"B100092","볼보 굴삭기 (Volvo Excavator)","창원 / 한국","0","999999","인간 기계 인터페이스 컨트롤 유닛","연료 레벨 센서","ISO 14229 / SAE J1939","성능 또는 잘못된 작동","B100092 연료 레벨 센서 성능 또는 잘못된 작동","시동 ON 또는 장비 운용 중","없음","센서/액추에이터 이상, 배선 단선/단락, 커넥터 접촉 불량","관련 하네스/배선 점검, 커넥터 체결 상태 확인, 부품 점검 및 교환","overwrite"
"B102719","볼보 굴삭기 (Volvo Excavator)","창원 / 한국","0","999999","일반 용도 장비의 전자 컨트롤 유닛 1","상단 와이퍼 컨트롤 릴레이","ISO 14229 / SAE J1939","회로 전류 임계값 초과","B102719 상단 와이퍼 컨트롤 릴레이 회로 전류 임계값 초과","시동 ON 또는 장비 운용 중","없음","센서/액추에이터 이상, 배선 단선/단락, 커넥터 접촉 불량","관련 하네스/배선 점검, 커넥터 체결 상태 확인, 부품 점검 및 교환","overwrite"
"B101719","볼보 굴삭기 (Volvo Excavator)","창원 / 한국","0","999999","인간 기계 인터페이스 컨트롤 유닛","뒤쪽 프레임 작업등 릴레이","ISO 14229 / SAE J1939","회로 전류 임계값 초과","B101719 뒤쪽 프레임 작업등 릴레이 회로 전류 임계값 초과","시동 ON 또는 장비 운용 중","없음","센서/액추에이터 이상, 배선 단선/단락, 커넥터 접촉 불량","관련 하네스/배선 점검, 커넥터 체결 상태 확인, 부품 점검 및 교환","overwrite"
"B114013","볼보 굴삭기 (Volvo Excavator)","창원 / 한국","0","999999","일반 용도 장비의 전자 컨트롤 유닛 2","브레이크 등 회로","ISO 14229 / SAE J1939","회로 단선","B114013 브레이크 등 회로 회로 단선","시동 ON 또는 장비 운용 중","없음","센서/액추에이터 이상, 배선 단선/단락, 커넥터 접촉 불량","관련 하네스/배선 점검, 커넥터 체결 상태 확인, 부품 점검 및 교환","overwrite"
"B114218","볼보 굴삭기 (Volvo Excavator)","창원 / 한국","0","999999","일반 용도 장비의 전자 컨트롤 유닛 2","좌측 스크리드 잠금장치, 밸브 솔레노이드","ISO 14229 / SAE J1939","회로 전류 임계값 미만","B114218 좌측 스크리드 잠금장치, 밸브 솔레노이드 회로 전류 임계값 미만","시동 ON 또는 장비 운용 중","없음","센서/액추에이터 이상, 배선 단선/단락, 커넥터 접촉 불량","관련 하네스/배선 점검, 커넥터 체결 상태 확인, 부품 점검 및 교환","overwrite"
"C103311","볼보 굴삭기 (Volvo Excavator)","창원 / 한국","0","999999","일반 용도 장비의 전자 컨트롤 유닛 1","CDC 컨트롤 유닛 릴레이 진단","ISO 14229 / SAE J1939","회로의 접지 단락","C103311 CDC 컨트롤 유닛 릴레이 진단 회로의 접지 단락","시동 ON 또는 장비 운용 중","없음","센서/액추에이터 이상, 배선 단선/단락, 커넥터 접촉 불량","관련 하네스/배선 점검, 커넥터 체결 상태 확인, 부품 점검 및 교환","overwrite"
"P020199","볼보 굴삭기 (Volvo Excavator)","창원 / 한국","0","999999","엔진 컨트롤 모듈","실린더 1 인젝터 ""A""","ISO 14229 / SAE J1939","학습 한도 초과","P020199 실린더 1 인젝터 ""A"" 학습 한도 초과","시동 ON 또는 장비 운용 중","없음","센서/액추에이터 이상, 배선 단선/단락, 커넥터 접촉 불량","관련 하네스/배선 점검, 커넥터 체결 상태 확인, 부품 점검 및 교환","overwrite"
"P06E617","볼보 굴삭기 (Volvo Excavator)","창원 / 한국","0","999999","엔진 컨트롤 모듈","센서 전원 공급장치 ""C""","ISO 14229 / SAE J1939","회로 전압 임계값 초과","EF2161-3","시동 ON 또는 장비 운용 중","없음","센서/액추에이터 이상, 배선 단선/단락, 커넥터 접촉 불량","관련 하네스/배선 점검, 커넥터 체결 상태 확인, 부품 점검 및 교환","overwrite"
"C105D79","볼보 굴삭기 (Volvo Excavator)","창원 / 한국","0","999999","일반 용도 장비의 전자 컨트롤 유닛 2","붐 각도 센서","ISO 14229 / SAE J1939","기계장치 결합 오류","C105D79 붐 각도 센서 기계장치 결합 오류","시동 ON 또는 장비 운용 중","없음","센서/액추에이터 이상, 배선 단선/단락, 커넥터 접촉 불량","관련 하네스/배선 점검, 커넥터 체결 상태 확인, 부품 점검 및 교환","overwrite"
"P038001","볼보 굴삭기 (Volvo Excavator)","창원 / 한국","0","999999","엔진 컨트롤 모듈","글로우 플러그/히터 회로 ""A""","ISO 14229 / SAE J1939","일반적 전기적 오류","P038001 글로우 플러그/히터 회로 ""A"" 일반적 전기적 오류","시동 ON 또는 장비 운용 중","없음","센서/액추에이터 이상, 배선 단선/단락, 커넥터 접촉 불량","관련 하네스/배선 점검, 커넥터 체결 상태 확인, 부품 점검 및 교환","overwrite"
"P215000","볼보 굴삭기 (Volvo Excavator)","창원 / 한국","0","999999","엔진 컨트롤 모듈","연료 인젝터 그룹 ""B"" 공급 전압 회로 로우","ISO 14229 / SAE J1939","추가 정보 없음","P215000 연료 인젝터 그룹 ""B"" 공급 전압 회로 로우 추가 정보 없음","시동 ON 또는 장비 운용 중","없음","센서/액추에이터 이상, 배선 단선/단락, 커넥터 접촉 불량","관련 하네스/배선 점검, 커넥터 체결 상태 확인, 부품 점검 및 교환","overwrite"
"B10A212","볼보 굴삭기 (Volvo Excavator)","창원 / 한국","0","999999","일반 용도 장비의 전자 컨트롤 유닛 2","크라운 프로필 양극 액추에이터","ISO 14229 / SAE J1939","회로의 전원 단락","B10A212 크라운 프로필 양극 액추에이터 회로의 전원 단락","시동 ON 또는 장비 운용 중","없음","센서/액추에이터 이상, 배선 단선/단락, 커넥터 접촉 불량","관련 하네스/배선 점검, 커넥터 체결 상태 확인, 부품 점검 및 교환","overwrite"
"B100412","볼보 굴삭기 (Volvo Excavator)","창원 / 한국","0","999999","인간 기계 인터페이스 컨트롤 유닛","CBAT 릴레이","ISO 14229 / SAE J1939","회로의 전원 단락","B100412 CBAT 릴레이 회로의 전원 단락","시동 ON 또는 장비 운용 중","없음","센서/액추에이터 이상, 배선 단선/단락, 커넥터 접촉 불량","관련 하네스/배선 점검, 커넥터 체결 상태 확인, 부품 점검 및 교환","overwrite"
"P20D712","볼보 굴삭기 (Volvo Excavator)","창원 / 한국","0","999999","엔진 컨트롤 모듈","배기 후처리 연료 공급 컨트롤","ISO 14229 / SAE J1939","회로의 전원 단락","MA2520-3","시동 ON 또는 장비 운용 중","없음","센서/액추에이터 이상, 배선 단선/단락, 커넥터 접촉 불량","관련 하네스/배선 점검, 커넥터 체결 상태 확인, 부품 점검 및 교환","overwrite"
"P269712","볼보 굴삭기 (Volvo Excavator)","창원 / 한국","0","999999","엔진 컨트롤 모듈","배기 후처리 연료 인젝터 ""A""","ISO 14229 / SAE J1939","회로의 전원 단락","P269712 배기 후처리 연료 인젝터 ""A"" 회로의 전원 단락","시동 ON 또는 장비 운용 중","없음","센서/액추에이터 이상, 배선 단선/단락, 커넥터 접촉 불량","관련 하네스/배선 점검, 커넥터 체결 상태 확인, 부품 점검 및 교환","overwrite"
"B103262","볼보 굴삭기 (Volvo Excavator)","창원 / 한국","0","999999","일반 용도 장비의 전자 컨트롤 유닛 1","프로그램 메모리(EEP) - GPM ECU","ISO 14229 / SAE J1939","신호 비교 오류","B103262 프로그램 메모리(EEP) - GPM ECU 신호 비교 오류","시동 ON 또는 장비 운용 중","없음","센서/액추에이터 이상, 배선 단선/단락, 커넥터 접촉 불량","관련 하네스/배선 점검, 커넥터 체결 상태 확인, 부품 점검 및 교환","overwrite"
"P009013","볼보 굴삭기 (Volvo Excavator)","창원 / 한국","0","999999","엔진 컨트롤 모듈","연료 압력 레귤레이터 1 컨트롤","ISO 14229 / SAE J1939","회로 단선","P009013 연료 압력 레귤레이터 1 컨트롤 회로 단선","시동 ON 또는 장비 운용 중","없음","센서/액추에이터 이상, 배선 단선/단락, 커넥터 접촉 불량","관련 하네스/배선 점검, 커넥터 체결 상태 확인, 부품 점검 및 교환","overwrite"
"P204F93","볼보 굴삭기 (Volvo Excavator)","창원 / 한국","0","999999","엔진 컨트롤 모듈","SCR 시스템 성능 주입 오류","ISO 14229 / SAE J1939","작동 없음","P204F93 SCR 시스템 성능 주입 오류 작동 없음","시동 ON 또는 장비 운용 중","없음","센서/액추에이터 이상, 배선 단선/단락, 커넥터 접촉 불량","관련 하네스/배선 점검, 커넥터 체결 상태 확인, 부품 점검 및 교환","overwrite"
"P021700","볼보 굴삭기 (Volvo Excavator)","창원 / 한국","0","999999","엔진 컨트롤 모듈","엔진 냉각수 과온 조건","ISO 14229 / SAE J1939","추가 정보 없음","PID 110-0","시동 ON 또는 장비 운용 중","없음","센서/액추에이터 이상, 배선 단선/단락, 커넥터 접촉 불량","관련 하네스/배선 점검, 커넥터 체결 상태 확인, 부품 점검 및 교환","overwrite"
"P033531","볼보 굴삭기 (Volvo Excavator)","창원 / 한국","0","999999","엔진 컨트롤 모듈","크랭크샤프트 위치 센서 ""A""","ISO 14229 / SAE J1939","신호 없음","P033531 크랭크샤프트 위치 센서 ""A"" 신호 없음","시동 ON 또는 장비 운용 중","없음","센서/액추에이터 이상, 배선 단선/단락, 커넥터 접촉 불량","관련 하네스/배선 점검, 커넥터 체결 상태 확인, 부품 점검 및 교환","overwrite"
"B104213","볼보 굴삭기 (Volvo Excavator)","창원 / 한국","0","999999","일반 용도 장비의 전자 컨트롤 유닛 2","지지대 2 솔레노이드 밸브","ISO 14229 / SAE J1939","회로 단선","B104213 지지대 2 솔레노이드 밸브 회로 단선","시동 ON 또는 장비 운용 중","없음","센서/액추에이터 이상, 배선 단선/단락, 커넥터 접촉 불량","관련 하네스/배선 점검, 커넥터 체결 상태 확인, 부품 점검 및 교환","overwrite"
"B103A13","볼보 굴삭기 (Volvo Excavator)","창원 / 한국","0","999999","일반 용도 장비의 전자 컨트롤 유닛 2","BSS 피스톤 연결 솔레노이드 밸브","ISO 14229 / SAE J1939","회로 단선","B103A13 BSS 피스톤 연결 솔레노이드 밸브 회로 단선","시동 ON 또는 장비 운용 중","없음","센서/액추에이터 이상, 배선 단선/단락, 커넥터 접촉 불량","관련 하네스/배선 점검, 커넥터 체결 상태 확인, 부품 점검 및 교환","overwrite"
"B104711","볼보 굴삭기 (Volvo Excavator)","창원 / 한국","0","999999","일반 용도 장비의 전자 컨트롤 유닛 1","이동 페달 압력 센서","ISO 14229 / SAE J1939","회로의 접지 단락","B104711 이동 페달 압력 센서 회로의 접지 단락","시동 ON 또는 장비 운용 중","없음","센서/액추에이터 이상, 배선 단선/단락, 커넥터 접촉 불량","관련 하네스/배선 점검, 커넥터 체결 상태 확인, 부품 점검 및 교환","overwrite"
"B10FE11","볼보 굴삭기 (Volvo Excavator)","창원 / 한국","0","999999","일반 용도 장비의 전자 컨트롤 유닛 1","Steelwrist 2.0 감지 센서","ISO 14229 / SAE J1939","회로의 접지 단락","B10FE11 Steelwrist 2.0 감지 센서 회로의 접지 단락","시동 ON 또는 장비 운용 중","없음","센서/액추에이터 이상, 배선 단선/단락, 커넥터 접촉 불량","관련 하네스/배선 점검, 커넥터 체결 상태 확인, 부품 점검 및 교환","overwrite"
"P009A00","볼보 굴삭기 (Volvo Excavator)","창원 / 한국","0","999999","엔진 컨트롤 모듈","엔진 흡기 온도 - 상관관계","ISO 14229 / SAE J1939","추가 정보 없음","PID 105-2","시동 ON 또는 장비 운용 중","없음","센서/액추에이터 이상, 배선 단선/단락, 커넥터 접촉 불량","관련 하네스/배선 점검, 커넥터 체결 상태 확인, 부품 점검 및 교환","overwrite"
"P02E012","볼보 굴삭기 (Volvo Excavator)","창원 / 한국","0","999999","엔진 컨트롤 모듈","디젤 흡기 에어량 컨트롤","ISO 14229 / SAE J1939","회로의 전원 단락","PSID 7-3","시동 ON 또는 장비 운용 중","없음","센서/액추에이터 이상, 배선 단선/단락, 커넥터 접촉 불량","관련 하네스/배선 점검, 커넥터 체결 상태 확인, 부품 점검 및 교환","overwrite"
"B11C412","볼보 굴삭기 (Volvo Excavator)","창원 / 한국","0","999999","일반 용도 장비의 전자 컨트롤 유닛 2","Windscreen Washer","ISO 14229 / SAE J1939","회로의 전원 단락","B11C412 Windscreen Washer 회로의 전원 단락","시동 ON 또는 장비 운용 중","없음","센서/액추에이터 이상, 배선 단선/단락, 커넥터 접촉 불량","관련 하네스/배선 점검, 커넥터 체결 상태 확인, 부품 점검 및 교환","overwrite"
"P11F076","볼보 굴삭기 (Volvo Excavator)","창원 / 한국","0","999999","트랜스미션 ECU","클러치 케이스, 임시 샤프트 속도 센서","ISO 14229 / SAE J1939","잘못된 장착 위치","P11F076 클러치 케이스, 임시 샤프트 속도 센서 잘못된 장착 위치","시동 ON 또는 장비 운용 중","없음","센서/액추에이터 이상, 배선 단선/단락, 커넥터 접촉 불량","관련 하네스/배선 점검, 커넥터 체결 상태 확인, 부품 점검 및 교환","overwrite"
"P11F164","볼보 굴삭기 (Volvo Excavator)","창원 / 한국","0","999999","트랜스미션 ECU","정역학 모터 2, 속도 센서","ISO 14229 / SAE J1939","신호 타당성 오류","P11F164 정역학 모터 2, 속도 센서 신호 타당성 오류","시동 ON 또는 장비 운용 중","없음","센서/액추에이터 이상, 배선 단선/단락, 커넥터 접촉 불량","관련 하네스/배선 점검, 커넥터 체결 상태 확인, 부품 점검 및 교환","overwrite"
